;cidade;area;quartos;banheiro;estacionamento;andar;aceita animal?;mobilhado;valor condomínio (R$);valor do aluguel (R$);imposto do imóvel (R$);seguro fiança (R$);total (R$);valores mensais (R$);valores anuais (R$)
285;São Paulo;350;3;3;3;-;não aceita;sem mobilha;0;10000;1292;151;11440;10000;121443
286;Porto Alegre;131;3;3;1;10;aceita;mobilhado;1625;1750;121;26;3522;3375;40647
287;Campinas;90;3;2;1;3;aceita;sem mobilha;920;1300;129;17;2366;2220;26786
288;Rio de Janeiro;26;1;1;0;4;não aceita;sem mobilha;390;1650;120;22;2182;2040;24622
289;Rio de Janeiro;44;1;1;0;3;aceita;mobilhado;400;1100;14;15;1529;1500;18029
290;São Paulo;70;2;2;0;-;aceita;sem mobilha;0;1880;0;29;1909;1880;22589
291;Belo Horizonte;40;1;1;0;-;não aceita;sem mobilha;0;900;0;15;915;900;10815
292;Belo Horizonte;320;4;2;4;-;aceita;sem mobilha;0;3200;206;53;3459;3200;38659
293;São Paulo;213;2;2;3;-;aceita;sem mobilha;0;5150;0;78;5228;5150;61878
294;São Paulo;80;2;1;0;1;não aceita;sem mobilha;0;1100;0;14;1114;1100;13214
295;Campinas;70;1;1;0;6;aceita;sem mobilha;500;800;30;11;1341;1300;15641
296;Rio de Janeiro;60;2;1;1;5;aceita;sem mobilha;690;1500;25;20;2235;2190;26325
297;São Paulo;270;4;4;4;5;aceita;sem mobilha;4500;12850;1834;163;19350;17350;210197
298;Rio de Janeiro;70;2;1;1;3;aceita;sem mobilha;800;1300;44;17;2161;2100;25261
299;Porto Alegre;300;6;2;2;-;aceita;sem mobilha;0;6000;242;107;6349;6000;72349
300;São Paulo;220;4;5;3;14;aceita;mobilhado;2050;12000;750;153;14950;14050;169503
301;Porto Alegre;64;2;2;2;7;aceita;sem mobilha;450;1600;34;24;2108;2050;24658
302;Rio de Janeiro;80;3;3;1;7;não aceita;sem mobilha;1100;1470;0;19;2589;2570;30859
303;São Paulo;56;1;1;0;9;aceita;mobilhado;625;2500;81;32;3238;3125;37613
304;São Paulo;161;4;3;2;1;aceita;sem mobilha;1450;10000;467;127;12040;11450;137994
305;São Paulo;35;1;1;0;-;aceita;sem mobilha;350;1350;0;18;1718;1700;20418
306;São Paulo;720;4;6;5;-;aceita;mobilhado;0;12750;2613;192;15560;12750;155805
307;São Paulo;280;4;5;4;6;não aceita;sem mobilha;2500;3200;750;41;6491;5700;69191
308;Porto Alegre;96;3;2;0;2;aceita;sem mobilha;408;2100;84;31;2623;2508;30211
309;Campinas;236;3;4;4;10;aceita;sem mobilha;1600;11000;440;140;13180;12600;151780
310;São Paulo;81;3;2;1;4;aceita;sem mobilha;204;1510;0;20;1734;1714;20588
311;São Paulo;62;2;1;1;1;aceita;sem mobilha;580;1650;92;21;2343;2230;26873
312;Belo Horizonte;125;3;2;0;2;aceita;sem mobilha;150;1200;69;16;1435;1350;16285
313;São Paulo;37;1;1;1;6;aceita;mobilhado;890;4150;110;53;5203;5040;60643
314;São Paulo;60;2;2;1;11;aceita;sem mobilha;1680;4000;200;51;5931;5680;68411
315;São Paulo;230;4;2;3;1;aceita;sem mobilha;3600;5000;1551;64;10220;8600;104815
316;São Paulo;210;4;5;2;1;aceita;mobilhado;3800;8500;0;108;12410;12300;147708
317;São Paulo;450;4;3;8;-;aceita;sem mobilha;0;14000;175;211;14390;14000;168386
318;São Paulo;234;3;5;4;-;aceita;mobilhado;0;3680;400;56;4136;3680;44616
319;Belo Horizonte;135;4;3;2;2;não aceita;sem mobilha;868;2450;308;33;3659;3318;40157
320;São Paulo;395;4;5;3;-;aceita;sem mobilha;0;6000;122;91;6213;6000;72213
321;Porto Alegre;92;2;2;1;2;aceita;sem mobilha;450;1700;67;25;2242;2150;25892
322;São Paulo;412;3;5;6;21;aceita;sem mobilha;2000;3952;459;51;6462;5952;71934
323;São Paulo;42;1;1;1;27;aceita;sem mobilha;560;5300;100;68;6028;5860;70488
324;São Paulo;33;1;1;0;12;não aceita;mobilhado;385;3000;125;39;3549;3385;40784
325;Porto Alegre;28;2;1;1;-;aceita;sem mobilha;0;600;0;11;611;600;7211
326;São Paulo;190;4;4;2;-;não aceita;sem mobilha;0;4450;223;67;4740;4450;53690
327;São Paulo;165;4;3;3;10;aceita;mobilhado;2440;6300;1292;80;10110;8740;106252
328;Porto Alegre;44;1;1;0;5;aceita;sem mobilha;355;1200;20;18;1593;1555;18698
329;São Paulo;60;2;1;1;4;aceita;sem mobilha;603;1275;109;17;2004;1878;22662
330;São Paulo;380;3;3;2;1;aceita;sem mobilha;3580;11000;1084;140;15800;14580;176184
331;Rio de Janeiro;73;2;1;0;4;aceita;sem mobilha;375;830;120;11;1336;1205;14591
332;Belo Horizonte;19;1;1;0;5;aceita;sem mobilha;620;1100;85;15;1820;1720;20740
333;Campinas;230;3;5;4;6;aceita;sem mobilha;1800;7500;0;96;9396;9300;111696
334;Porto Alegre;37;1;1;1;2;aceita;sem mobilha;500;2500;0;37;3037;3000;36037
335;São Paulo;124;3;2;3;7;aceita;sem mobilha;1450;6600;300;84;8434;8050;96984
336;Rio de Janeiro;115;3;2;1;8;aceita;mobilhado;1090;2680;114;35;3919;3770;45389
337;Campinas;600;3;3;4;-;aceita;sem mobilha;0;5500;384;83;5967;5500;66467
338;Rio de Janeiro;700;5;5;4;-;aceita;mobilhado;1380;15000;1667;229;18280;16380;198456
339;Porto Alegre;35;1;1;0;1;aceita;sem mobilha;100;815;17;12;944;915;11009
340;Belo Horizonte;15;1;1;0;3;não aceita;mobilhado;0;1100;0;15;1115;1100;13215
341;Campinas;80;3;2;1;2;aceita;sem mobilha;570;1450;125;19;2164;2020;24384
342;Porto Alegre;48;1;1;0;4;aceita;sem mobilha;200;700;38;11;949;900;10849
343;Belo Horizonte;96;3;2;1;2;aceita;sem mobilha;922;1500;137;20;2579;2422;29221
344;São Paulo;150;3;2;1;7;aceita;mobilhado;1843;6715;340;86;8984;8558;103122
345;Belo Horizonte;105;3;2;2;2;não aceita;sem mobilha;1681;3300;390;44;5415;4981;60206
346;Belo Horizonte;204;4;4;4;22;não aceita;mobilhado;2701;10000;760;134;13600;12701;153306
347;Rio de Janeiro;125;3;1;2;11;aceita;sem mobilha;1317;2600;170;33;4120;3917;47207
348;Rio de Janeiro;50;2;1;0;3;não aceita;sem mobilha;490;2300;50;30;2870;2790;33560
349;São Paulo;250;3;4;3;-;não aceita;sem mobilha;0;3740;234;57;4031;3740;45171
350;São Paulo;300;3;4;3;7;aceita;mobilhado;3000;2000;1250;26;6276;5000;61276
351;São Paulo;80;2;1;1;-;aceita;sem mobilha;0;1500;55;23;1578;1500;18078
352;Rio de Janeiro;130;3;4;1;2;não aceita;sem mobilha;1200;1400;334;19;2953;2600;31553
353;São Paulo;120;2;3;0;2;aceita;sem mobilha;904;3300;195;42;4441;4204;50685
354;São Paulo;540;3;3;4;9;aceita;sem mobilha;6200;15000;3500;191;24890;21200;258091
355;São Paulo;23;1;1;0;23;aceita;sem mobilha;392;2100;41;27;2560;2492;29972
356;São Paulo;15;1;1;0;-;não aceita;mobilhado;0;2500;0;32;2532;2500;30032
357;São Paulo;72;1;2;2;19;aceita;sem mobilha;900;4000;200;51;5151;4900;59051
358;Rio de Janeiro;95;3;2;2;7;aceita;sem mobilha;985;2300;122;30;3437;3285;39572
359;São Paulo;330;4;5;4;13;aceita;sem mobilha;2870;10000;1119;127;14120;12870;155686
360;São Paulo;75;2;2;2;7;não aceita;mobilhado;1600;6600;400;84;8684;8200;98884
361;São Paulo;53;1;1;1;4;aceita;sem mobilha;690;4398;200;56;5344;5088;61312
362;São Paulo;178;3;2;1;2;não aceita;sem mobilha;1200;1900;180;25;3305;3100;37405
363;São Paulo;150;3;2;0;-;aceita;sem mobilha;0;4000;24;61;4085;4000;48085
364;São Paulo;50;2;1;1;4;aceita;sem mobilha;520;1200;30;16;1766;1720;20686
365;São Paulo;150;3;2;1;-;não aceita;sem mobilha;0;2500;59;38;2597;2500;30097
366;Porto Alegre;25;1;1;0;-;aceita;mobilhado;286;984;11;15;1296;1270;15266
367;São Paulo;210;3;4;4;13;não aceita;sem mobilha;3150;12000;1155;153;16460;15150;183108
368;Belo Horizonte;75;3;2;1;4;aceita;sem mobilha;600;1500;75;20;2195;2100;25295
369;Belo Horizonte;200;2;4;3;12;aceita;sem mobilha;1897;15000;827;200;17920;16897;203791
370;São Paulo;350;4;4;0;-;aceita;sem mobilha;0;8000;989;121;9110;8000;97110
371;Porto Alegre;49;2;1;1;7;aceita;sem mobilha;360;1150;30;17;1557;1510;18167
372;Porto Alegre;40;1;1;0;4;não aceita;mobilhado;0;2000;0;30;2030;2000;24030
373;São Paulo;45;1;1;1;2;não aceita;mobilhado;1900;4200;350;54;6504;6100;73604
374;São Paulo;46;1;1;1;8;não aceita;mobilhado;900;7600;118;97;8715;8500;102215
375;São Paulo;80;2;2;2;15;aceita;sem mobilha;2000;11000;0;140;13140;13000;156140
376;São Paulo;30;1;1;0;3;aceita;mobilhado;400;2850;0;37;3287;3250;39037
377;São Paulo;80;2;2;2;-;aceita;sem mobilha;50;2200;173;34;2457;2250;27207
378;Rio de Janeiro;105;2;2;1;10;aceita;sem mobilha;1780;1530;134;20;3464;3310;39874
379;Belo Horizonte;105;3;2;2;7;aceita;sem mobilha;1170;2000;219;27;3416;3170;38286
380;São Paulo;114;3;1;0;-;aceita;sem mobilha;0;2570;150;39;2759;2570;31029
381;São Paulo;200;3;3;4;-;aceita;sem mobilha;0;7000;425;106;7531;7000;84531
382;Porto Alegre;120;3;3;2;5;aceita;sem mobilha;800;3000;167;44;4011;3800;45811
383;São Paulo;60;2;2;1;11;aceita;sem mobilha;647;4000;21;51;4719;4647;55836
384;São Paulo;90;2;1;1;1;aceita;sem mobilha;1000;3000;50;39;4089;4000;48089
385;Rio de Janeiro;53;2;1;0;3;não aceita;sem mobilha;535;1800;50;24;2409;2335;28094
386;São Paulo;80;2;2;5;-;aceita;sem mobilha;0;3000;59;46;3105;3000;36105
387;Campinas;87;4;2;2;4;aceita;sem mobilha;784;1600;106;21;2511;2384;28735
388;Rio de Janeiro;110;3;1;1;1;aceita;sem mobilha;557;5000;188;65;5810;5557;66937
389;Belo Horizonte;113;4;2;1;3;aceita;sem mobilha;1587;4000;429;54;6070;5587;67527
390;São Paulo;170;3;2;2;5;não aceita;sem mobilha;2199;5000;423;64;7686;7199;86875
391;São Paulo;150;3;2;0;1;não aceita;sem mobilha;700;3000;42;39;3781;3700;44481
392;Porto Alegre;60;2;2;1;11;aceita;sem mobilha;469;1500;51;22;2042;1969;23701
393;Porto Alegre;43;1;1;0;4;não aceita;mobilhado;290;2100;66;31;2487;2390;28777
394;São Paulo;130;3;2;2;4;aceita;mobilhado;800;3500;0;45;4345;4300;51645
395;São Paulo;69;3;2;0;7;aceita;mobilhado;650;1900;185;25;2760;2550;30810
396;Campinas;306;3;2;2;-;aceita;sem mobilha;0;2500;422;38;2960;2500;30460
397;São Paulo;187;3;2;3;-;aceita;sem mobilha;500;3500;193;53;4246;4000;48246
398;São Paulo;385;3;4;3;-;aceita;sem mobilha;0;9000;1500;136;10640;9000;109636
399;São Paulo;355;4;4;3;-;aceita;sem mobilha;0;7300;660;110;8070;7300;88370
400;Porto Alegre;90;2;1;1;2;aceita;sem mobilha;405;1100;380;17;1902;1505;18457
401;São Paulo;190;3;4;4;-;aceita;sem mobilha;0;5000;275;76;5351;5000;60351
402;Campinas;181;2;1;2;-;aceita;sem mobilha;0;1400;132;22;1554;1400;16954
403;São Paulo;350;3;5;4;13;aceita;sem mobilha;4000;3490;1750;45;9285;7490;91675
404;Belo Horizonte;168;5;3;2;2;aceita;sem mobilha;1443;2900;408;39;4790;4343;52563
405;Rio de Janeiro;73;2;1;0;1;aceita;sem mobilha;1600;2800;204;37;4641;4400;53041
406;São Paulo;378;5;5;4;4;aceita;sem mobilha;4000;3000;2000;39;9039;7000;86039
407;Campinas;60;2;1;1;-;aceita;sem mobilha;0;1300;180;20;1500;1300;15800
408;Belo Horizonte;362;4;5;0;19;não aceita;sem mobilha;4138;15000;1975;200;21310;19138;231831
409;São Paulo;90;3;2;0;-;aceita;sem mobilha;0;1700;136;26;1862;1700;20562
410;Rio de Janeiro;42;1;1;0;4;não aceita;mobilhado;500;1973;79;26;2578;2473;29781
411;Rio de Janeiro;56;2;1;1;18;aceita;sem mobilha;568;1000;88;13;1669;1568;18917
412;São Paulo;16;1;1;0;1;não aceita;sem mobilha;0;850;30;11;891;850;10241
413;São Paulo;90;2;2;2;15;não aceita;mobilhado;1400;10000;0;127;11530;11400;136927
414;Belo Horizonte;67;1;1;0;13;aceita;sem mobilha;375;850;55;12;1292;1225;14767
415;São Paulo;488;4;3;3;-;aceita;sem mobilha;14130;6400;1214;82;21820;20530;247656
416;Rio de Janeiro;30;1;1;0;10;aceita;sem mobilha;850;1100;60;15;2025;1950;23475
417;São Paulo;290;6;3;4;-;aceita;sem mobilha;0;8000;1525;121;9646;8000;97646
418;São Paulo;266;3;3;4;10;aceita;sem mobilha;4700;6400;1500;82;12680;11100;134782
419;Campinas;47;2;1;1;4;aceita;sem mobilha;260;900;25;12;1197;1160;13957
420;Rio de Janeiro;590;6;6;2;-;aceita;mobilhado;750;8000;975;122;9847;8750;106097
421;São Paulo;900;4;9;8;1;aceita;sem mobilha;0;15000;5700;226;20930;15000;185926
422;São Paulo;86;2;1;1;-;aceita;sem mobilha;0;2200;110;34;2344;2200;26544
423;São Paulo;290;3;3;2;-;aceita;mobilhado;0;15000;1000;226;16230;15000;181226
424;Porto Alegre;84;3;2;2;4;aceita;sem mobilha;750;3300;100;49;4199;4050;48749
425;São Paulo;160;3;1;2;-;aceita;sem mobilha;0;5000;225;76;5301;5000;60301
426;São Paulo;37;1;1;0;3;não aceita;mobilhado;470;3500;127;45;4142;3970;47812
427;Campinas;73;3;1;1;4;aceita;sem mobilha;308;850;46;11;1215;1158;13953
428;São Paulo;350;4;5;5;17;aceita;mobilhado;2400;15000;2400;191;19990;17400;211391
429;Rio de Janeiro;57;1;1;0;2;aceita;sem mobilha;200;1100;10;15;1325;1300;15625
430;Campinas;48;1;1;0;9;aceita;sem mobilha;350;650;21;9;1030;1000;12030
431;Rio de Janeiro;30;1;1;0;8;aceita;sem mobilha;390;800;25;11;1226;1190;14316
432;Campinas;198;6;3;4;-;aceita;sem mobilha;0;2000;145;31;2176;2000;24176
433;Porto Alegre;47;1;1;0;2;não aceita;sem mobilha;300;1000;59;15;1374;1300;15674
434;Porto Alegre;60;2;1;1;3;aceita;sem mobilha;250;800;22;12;1084;1050;12634
435;São Paulo;230;3;3;0;9;aceita;mobilhado;1700;5000;109;64;6873;6700;80573
436;Belo Horizonte;90;2;1;1;-;não aceita;sem mobilha;0;1520;0;25;1545;1520;18265
437;Rio de Janeiro;129;3;2;1;8;aceita;mobilhado;1200;3255;167;42;4664;4455;53669
438;São Paulo;240;4;4;4;22;aceita;sem mobilha;1980;6672;417;85;9154;8652;104326
439;Porto Alegre;55;1;1;0;14;aceita;sem mobilha;700;1020;29;15;1764;1720;20684
440;Porto Alegre;52;1;1;0;-;aceita;sem mobilha;150;1200;42;18;1410;1350;16260
441;São Paulo;250;3;4;3;8;aceita;sem mobilha;1610;6000;1089;77;8776;7610;92486
442;São Paulo;200;3;2;2;19;aceita;sem mobilha;2573;10000;1121;127;13820;12573;152124
443;Belo Horizonte;312;4;3;3;1;aceita;sem mobilha;1498;2300;463;31;4292;3798;46070
444;São Paulo;230;5;5;3;-;aceita;sem mobilha;0;9900;620;149;10670;9900;119569
445;São Paulo;72;2;2;2;9;aceita;sem mobilha;750;2480;209;32;3471;3230;39001
446;São Paulo;55;2;1;0;5;aceita;mobilhado;620;2400;24;31;3075;3020;36295
447;Rio de Janeiro;72;2;2;1;2;não aceita;mobilhado;914;3600;133;47;4694;4514;54348
448;São Paulo;50;2;1;0;-;aceita;sem mobilha;0;1200;83;19;1302;1200;14502
449;São Paulo;17;1;1;0;1;aceita;sem mobilha;0;2700;5;35;2740;2700;32440
450;Belo Horizonte;160;3;3;2;4;aceita;sem mobilha;150;2400;263;32;2845;2550;30895
451;São Paulo;214;4;4;3;5;aceita;sem mobilha;2638;6520;1187;83;10430;9158;111166
452;Rio de Janeiro;65;1;1;0;-;aceita;sem mobilha;300;1800;30;24;2154;2100;25254
453;São Paulo;136;3;2;1;10;não aceita;mobilhado;1300;6500;267;47;8114;7800;93914
454;Porto Alegre;70;2;2;1;6;aceita;sem mobilha;440;1900;57;28;2425;2340;28165
455;Porto Alegre;38;1;1;0;2;aceita;sem mobilha;340;650;350;10;1350;990;12240
456;São Paulo;450;8;5;5;-;aceita;sem mobilha;0;8000;1000;121;9121;8000;97121
457;Rio de Janeiro;67;2;1;1;2;aceita;sem mobilha;1217;2200;130;29;3576;3417;41163
458;São Paulo;20;1;1;0;1;não aceita;sem mobilha;0;1100;35;14;1149;1100;13249
459;São Paulo;41;1;1;0;12;aceita;sem mobilha;290;1530;60;20;1900;1820;21920
460;São Paulo;50;2;1;1;7;aceita;sem mobilha;500;1550;7;20;2077;2050;24627
461;São Paulo;205;3;3;3;-;aceita;sem mobilha;0;5525;575;84;6184;5525;66959
462;São Paulo;100;3;2;1;-;aceita;sem mobilha;0;3300;500;50;3850;3300;40150
463;São Paulo;190;3;4;4;16;aceita;mobilhado;2849;15000;1160;191;19200;17849;215539
464;Belo Horizonte;45;2;1;0;-;aceita;sem mobilha;0;1350;0;23;1373;1350;16223
465;Campinas;57;1;1;1;2;aceita;sem mobilha;605;800;66;11;1482;1405;16937
466;Porto Alegre;88;1;2;2;3;aceita;sem mobilha;340;1600;40;24;2004;1940;23344
467;São Paulo;70;1;1;1;10;aceita;mobilhado;459;3400;80;44;3983;3859;46432
468;São Paulo;76;2;2;0;11;aceita;mobilhado;646;2800;0;36;3482;3446;41388
469;Rio de Janeiro;36;1;1;0;10;aceita;sem mobilha;450;1370;29;18;1867;1820;21887
470;Porto Alegre;61;2;2;2;11;aceita;sem mobilha;445;2500;42;37;3024;2945;35419
471;São Paulo;280;4;3;6;-;aceita;mobilhado;0;12500;706;188;13390;12500;150894
472;São Paulo;480;5;6;3;-;aceita;sem mobilha;0;5000;1000;76;6076;5000;61076
473;Campinas;45;1;1;1;17;aceita;mobilhado;0;1950;0;25;1975;1950;23425
474;São Paulo;42;1;1;0;9;aceita;mobilhado;1290;1500;184;20;2994;2790;33684
475;Porto Alegre;62;2;1;0;4;aceita;sem mobilha;352;736;28;11;1127;1088;13095
476;São Paulo;38;2;1;0;2;aceita;sem mobilha;90;1500;0;20;1610;1590;19100
477;São Paulo;44;1;1;1;8;não aceita;mobilhado;578;2400;0;31;3009;2978;35767
478;São Paulo;75;3;2;2;11;aceita;sem mobilha;630;2800;167;36;3633;3430;41363
479;Rio de Janeiro;66;2;1;1;2;aceita;sem mobilha;650;1250;0;17;1917;1900;22817
480;São Paulo;125;3;3;2;-;aceita;sem mobilha;0;2800;38;43;2881;2800;33681
481;Campinas;62;2;1;2;7;aceita;sem mobilha;609;1500;90;20;2219;2109;25418
482;São Paulo;77;2;1;1;5;aceita;sem mobilha;1148;3100;464;40;4752;4248;51480
483;São Paulo;136;2;4;2;7;aceita;sem mobilha;1540;4800;242;61;6643;6340;76383
484;São Paulo;200;4;2;1;5;aceita;sem mobilha;2115;5000;328;64;7507;7115;85772
485;São Paulo;35;1;1;0;1;não aceita;sem mobilha;250;1305;0;17;1572;1555;18677
486;São Paulo;250;4;3;2;-;aceita;mobilhado;10;4500;100;68;4678;4510;54288
487;São Paulo;90;2;2;2;-;aceita;mobilhado;0;4100;0;62;4162;4100;49262
488;Campinas;72;2;2;1;7;aceita;sem mobilha;480;850;9;11;1350;1330;15980
489;São Paulo;168;3;3;5;16;aceita;sem mobilha;1675;3500;184;45;5404;5175;62329
490;Porto Alegre;360;3;4;3;5;aceita;mobilhado;4000;13200;500;193;17890;17200;207093
491;Campinas;38;1;1;1;9;aceita;sem mobilha;500;740;30;10;1280;1240;14920
492;São Paulo;23;1;1;1;26;aceita;sem mobilha;487;2300;59;30;2876;2787;33533
493;Porto Alegre;440;3;3;3;7;não aceita;sem mobilha;100;10500;84;154;10840;10600;127438
494;São Paulo;120;3;3;2;9;aceita;mobilhado;1200;3500;109;45;4854;4700;56554
495;Rio de Janeiro;90;2;2;0;5;aceita;sem mobilha;830;2500;84;33;3447;3330;40077
496;Porto Alegre;125;4;2;0;7;aceita;sem mobilha;1006;1632;150;14;2802;2638;31820
497;São Paulo;200;3;4;3;6;aceita;mobilhado;1800;5058;1200;65;8123;6858;83561
498;São Paulo;190;3;3;2;5;aceita;sem mobilha;1800;3260;292;42;5394;5060;61054
499;Belo Horizonte;123;3;2;1;3;aceita;sem mobilha;363;2600;143;35;3141;2963;35734
500;Campinas;53;2;1;1;-;aceita;sem mobilha;284;2000;41;26;2351;2284;27475
501;Rio de Janeiro;70;2;1;1;2;aceita;sem mobilha;560;2180;60;29;2829;2740;32969
502;São Paulo;90;2;2;2;17;aceita;mobilhado;1500;12200;454;155;14310;13700;165009
503;São Paulo;95;3;2;0;-;aceita;sem mobilha;0;1590;0;24;1614;1590;19104
504;Campinas;74;3;1;1;4;aceita;sem mobilha;474;900;40;12;1426;1374;16540
505;São Paulo;64;1;1;1;15;não aceita;sem mobilha;620;3600;0;46;4266;4220;50686
506;São Paulo;155;4;5;3;14;não aceita;sem mobilha;1850;6000;625;77;8552;7850;94902
507;Rio de Janeiro;125;3;1;2;3;não aceita;sem mobilha;1000;2200;159;29;3388;3200;38588
508;São Paulo;40;1;1;1;9;aceita;mobilhado;350;1580;25;21;1976;1930;23206
509;Porto Alegre;350;3;2;4;-;aceita;mobilhado;0;6522;492;116;7130;6522;78872
510;Belo Horizonte;417;3;5;8;-;aceita;sem mobilha;0;7650;450;126;8226;7650;92376
511;Porto Alegre;350;4;4;4;-;aceita;sem mobilha;0;6000;192;107;6299;6000;72299
512;São Paulo;40;1;1;1;8;não aceita;sem mobilha;440;2800;100;36;3376;3240;39016
513;São Paulo;30;1;1;1;15;não aceita;mobilhado;668;3500;127;45;4340;4168;50188
514;São Paulo;142;3;4;2;4;aceita;sem mobilha;1100;4500;375;58;6033;5600;67633
515;Porto Alegre;110;3;3;2;5;aceita;mobilhado;1300;4000;300;59;5659;5300;63959
516;São Paulo;100;4;4;1;-;aceita;sem mobilha;0;10000;9;151;10160;10000;120160
517;São Paulo;377;5;4;3;-;aceita;sem mobilha;0;8000;900;121;9021;8000;97021
518;São Paulo;230;2;3;3;17;aceita;mobilhado;2575;8000;633;102;11310;10575;127635
519;São Paulo;35;1;1;0;5;não aceita;mobilhado;450;1800;91;7;2348;2250;27098
520;São Paulo;32;1;1;1;16;aceita;sem mobilha;533;2900;0;37;3470;3433;41233
521;São Paulo;74;2;1;1;5;aceita;sem mobilha;569;2024;71;8;2672;2593;31195
522;São Paulo;147;2;3;4;19;aceita;sem mobilha;2600;1200;375;16;4191;3800;45991
523;São Paulo;35;1;1;0;3;aceita;mobilhado;480;2500;60;32;3072;2980;35852
524;Rio de Janeiro;26;1;1;0;7;aceita;mobilhado;630;1500;84;20;2234;2130;25664
525;São Paulo;70;2;2;1;5;aceita;mobilhado;517;1700;5;22;2244;2217;26631
526;São Paulo;150;3;3;3;19;aceita;mobilhado;1800;2800;740;36;5376;4600;55976
527;São Paulo;200;3;3;2;-;aceita;sem mobilha;0;8000;292;121;8413;8000;96413
528;Campinas;60;1;1;1;14;aceita;sem mobilha;583;1100;49;14;1746;1683;20259
529;São Paulo;250;4;5;3;2;aceita;sem mobilha;1700;2550;334;33;4617;4250;51367
530;São Paulo;44;1;2;0;12;não aceita;mobilhado;3300;3300;126;42;6768;6600;79368
531;São Paulo;250;7;5;2;-;aceita;mobilhado;0;6000;0;91;6091;6000;72091
532;São Paulo;157;3;2;0;7;aceita;sem mobilha;1325;4500;347;58;6230;5825;70305
533;São Paulo;97;2;2;0;1;aceita;sem mobilha;1200;5600;0;71;6871;6800;81671
534;Belo Horizonte;548;4;7;6;17;aceita;sem mobilha;5905;15000;2484;200;23590;20905;253544
535;São Paulo;28;1;1;0;1;aceita;sem mobilha;0;1325;0;17;1342;1325;15917
536;São Paulo;250;3;4;0;1;aceita;mobilhado;2000;10000;1667;127;13790;12000;145794
537;Belo Horizonte;193;4;2;2;-;aceita;sem mobilha;0;8900;255;146;9301;8900;107201
538;Belo Horizonte;428;5;5;4;-;aceita;mobilhado;0;9600;667;158;10430;9600;116025
539;São Paulo;50;2;1;0;2;não aceita;sem mobilha;200;950;0;13;1163;1150;13813
540;São Paulo;135;2;3;2;5;não aceita;sem mobilha;2000;12300;542;156;15000;14300;172298
541;Rio de Janeiro;103;2;2;1;8;aceita;sem mobilha;530;1600;221;21;2372;2130;25802
542;Campinas;103;3;2;2;2;aceita;sem mobilha;1500;1360;292;18;3170;2860;34630
543;São Paulo;80;3;2;1;-;aceita;sem mobilha;740;1500;150;20;2410;2240;27050
544;São Paulo;160;3;3;2;10;aceita;sem mobilha;1229;4000;390;51;5670;5229;63189
545;São Paulo;238;4;3;4;24;aceita;sem mobilha;2980;10200;1816;130;15130;13180;160106
546;Belo Horizonte;500;7;4;4;-;aceita;sem mobilha;0;5500;167;91;5758;5500;66258
547;São Paulo;580;5;5;4;4;aceita;sem mobilha;9900;15000;2200;191;27290;24900;301191
548;São Paulo;80;1;1;0;-;aceita;sem mobilha;0;1370;50;21;1441;1370;16511
549;São Paulo;210;4;5;3;12;aceita;mobilhado;2620;2975;1184;38;6817;5595;68362
550;Porto Alegre;106;3;3;1;7;aceita;sem mobilha;900;2250;186;33;3369;3150;38019
551;Rio de Janeiro;30;1;1;0;11;aceita;sem mobilha;500;1200;21;16;1737;1700;20437
552;São Paulo;156;3;2;1;-;aceita;sem mobilha;0;2000;147;31;2178;2000;24178
553;São Paulo;60;1;1;1;-;aceita;sem mobilha;0;1250;0;19;1269;1250;15019
554;São Paulo;200;3;4;0;2;aceita;sem mobilha;3672;3600;780;46;8098;7272;88090
555;São Paulo;70;2;2;0;1;aceita;sem mobilha;280;1000;138;13;1431;1280;15511
556;São Paulo;177;4;5;4;5;aceita;sem mobilha;1500;9200;959;117;11780;10700;129476
557;São Paulo;103;3;3;2;-;aceita;sem mobilha;735;2500;19;38;3292;3235;38877
558;São Paulo;440;4;4;4;-;aceita;sem mobilha;0;12000;2500;181;14680;12000;146681
559;São Paulo;65;2;1;1;8;aceita;mobilhado;600;1700;92;22;2414;2300;27714
560;Belo Horizonte;260;5;3;3;12;aceita;sem mobilha;2000;4000;487;54;6541;6000;72541
561;São Paulo;200;4;4;6;-;aceita;sem mobilha;0;4320;375;65;4760;4320;52280
562;São Paulo;96;3;2;1;12;aceita;sem mobilha;1122;3050;231;39;4442;4172;50334
563;São Paulo;68;2;2;1;2;aceita;mobilhado;690;2900;137;37;3764;3590;43254
564;Belo Horizonte;300;5;5;5;-;não aceita;sem mobilha;0;4500;450;74;5024;4500;54524
565;São Paulo;34;1;1;0;2;aceita;sem mobilha;305;750;27;10;1092;1055;12697
566;Campinas;398;5;6;0;2;aceita;sem mobilha;3500;8500;700;108;12810;12000;144808
567;Belo Horizonte;100;1;1;0;1;aceita;sem mobilha;0;2600;0;35;2635;2600;31235
